Customer_ID,Name_and_Surname,Age,Gender,Location,Income_Level,Policy_Type,Premium_Amount,Dependents,Payment_Method,Late_Payments,Missed_Payments,Number_of_Complaints,Claims_Filed,Customer_Tenure,Service_Satisfaction,Churn_Percentage
93,Simbarashe Mutsvangwa,46,Female,Kwekwe,Medium,Family,63,4,Mobile Money,5,5,2,3,3,2,100
94,Tendekai Nkala,60,Male,Masvingo,Medium,Family,103,4,Cash,2,5,0,0,3,3,69
95,Tinashe Mupoperi,49,Female,Bulawayo,High,Family,106,0,Bank Debit,6,2,2,0,3,2,96
96,Tendai Mashingaidze,48,Male,Bulawayo,Low,Family,67,0,Cash,8,1,4,1,5,5,95
97,Tendai Munyai,68,Female,Chegutu,High,Family,96,2,Bank Debit,8,1,2,3,8,4,83
98,Kundai Chikowore,57,Female,Chitungwiza,High,Individual,67,1,Mobile Money,9,3,0,2,6,1,100
99,Tadiwa Mupunga,18,Male,Kariba,High,Individual,43,4,Mobile Money,0,1,2,3,5,1,67
100,Prince Mupinga,31,Female,Victoria Falls,Medium,Individual,20,5,Ecocash,5,2,3,2,4,4,85
101,Tendekai Mutizwa,44,Male,Gweru,High,Individual,89,4,Cash,3,0,2,2,4,1,75
102,Elton Chikafu,33,Male,Hwange,Medium,Individual,114,3,Cash,8,0,3,1,7,2,100
103,Tonderai Nkomo,30,Male,Bulawayo,High,Individual,112,4,Bank Debit,3,0,2,1,7,1,75
104,Shamiso Munyai,53,Female,Chitungwiza,Low,Family,32,4,Cash,1,2,4,2,7,3,83
105,Rumbidzai Ndlovu,63,Female,Kadoma,Low,Individual,39,4,Mobile Money,2,1,2,3,2,1,77
106,Rutendo Masuku,43,Male,Masvingo,Low,Individual,31,4,Ecocash,6,0,1,3,3,4,56
107,Prince Mashava,48,Female,Norton,Low,Individual,38,5,Mobile Money,9,4,1,2,3,2,100
108,Simba Chibanda,46,Male,Victoria Falls,High,Individual,84,5,Cash,4,0,2,1,3,3,64
109,Clive Sibanda,33,Female,Gweru,Medium,Family,104,2,Cash,8,5,3,2,8,4,100
110,Rutendo Mashingaidze,64,Female,Victoria Falls,Medium,Individual,52,0,Ecocash,7,4,1,3,1,5,83
111,Blessing Chigumba,66,Female,Kadoma,High,Family,80,3,Ecocash,0,5,3,3,4,4,81
112,Melody Mupoperi,23,Male,Bindura,High,Family,29,0,Cash,1,2,0,2,1,1,61
113,Tatenda Mupfudze,24,Male,Kariba,Low,Individual,50,2,Cash,1,5,1,1,3,5,58
114,Elton Ndlovu,60,Female,Harare,Medium,Individual,94,4,Cash,0,5,1,2,2,3,69
115,Fadzai Munyoro,67,Male,Marondera,Low,Family,61,1,Ecocash,4,1,4,0,8,1,100
116,Farai Mupfumi,25,Male,Kariba,Low,Family,62,3,Cash,4,2,3,2,3,1,100
117,Shamiso Matiza,24,Female,Kariba,High,Individual,63,4,Ecocash,7,1,1,0,4,1,92
118,Anesu Nkomo,24,Female,Victoria Falls,Low,Family,86,5,Cash,9,5,1,3,7,4,100
119,Memory Mpofu,22,Male,Kadoma,Low,Individual,27,2,Bank Debit,6,2,0,3,8,4,60
120,Natsai Chibanda,33,Male,Kwekwe,Medium,Individual,36,0,Bank Debit,6,0,0,1,9,3,54
121,Tinotenda Mupamhanga,54,Female,Gweru,Low,Individual,87,0,Ecocash,8,1,0,0,8,4,63
122,Farai Dube,22,Male,Chegutu,Medium,Family,100,1,Bank Debit,0,1,1,2,1,3,43
123,Tendekai Chibanda,47,Female,Bindura,Low,Family,112,4,Mobile Money,2,1,1,3,6,4,43
124,Rudo Masuku,59,Female,Chitungwiza,High,Individual,117,1,Mobile Money,4,0,3,2,7,1,90
125,Tinotenda Chikafu,45,Male,Kadoma,Low,Individual,62,1,Bank Debit,4,1,1,2,9,3,61
126,Tadiwa Chirinda,67,Female,Bulawayo,Medium,Individual,71,4,Ecocash,3,2,1,3,7,2,71
127,Tinotenda Munyoro,73,Female,Bindura,High,Family,103,3,Bank Debit,1,5,2,1,8,3,84
128,Rumbidzai Mhlanga,65,Male,Harare,High,Family,62,4,Cash,2,5,2,0,4,4,81
129,Takudzwa Munyai,72,Male,Bindura,High,Family,44,4,Ecocash,9,0,1,3,3,1,95
130,Tonderai Mupunga,66,Female,Gweru,High,Family,110,4,Ecocash,5,3,1,0,8,4,72
131,Simbarashe Mutasa,28,Male,Bulawayo,Medium,Individual,10,0,Mobile Money,1,3,0,3,2,5,34
132,Natsai Mupoperi,73,Male,Chitungwiza,Medium,Individual,101,1,Mobile Money,3,4,4,0,2,2,100
133,Shingirai Moyo,62,Male,Chitungwiza,Medium,Family,61,3,Cash,7,1,2,1,4,4,78
134,Tawanda Mhlanga,55,Female,Marondera,Medium,Family,92,2,Bank Debit,7,1,3,0,8,1,100
135,Tinashe Moyo,32,Male,Marondera,Low,Family,43,1,Cash,2,4,4,1,3,3,100
136,Tafadzwa Mutsvairo,56,Male,Victoria Falls,Medium,Family,74,0,Mobile Money,4,0,1,0,5,4,46
137,Kudzai Dube,44,Female,Gweru,Medium,Family,103,2,Cash,0,1,4,0,9,5,55
138,Clive Sibanda,69,Female,Marondera,High,Family,28,5,Mobile Money,8,5,1,1,4,3,100
139,Nyasha Ndlovu,51,Male,Bindura,Medium,Individual,73,2,Bank Debit,5,2,0,2,5,2,71
140,Tonderai Matiza,47,Male,Kariba,Low,Family,85,5,Ecocash,1,4,4,1,3,4,89
141,Tadiwa Chikore,21,Male,Gweru,Medium,Family,112,5,Ecocash,2,2,0,2,5,5,32
142,Anesu Sibanda,22,Female,Kwekwe,Medium,Individual,47,4,Mobile Money,5,0,1,3,2,4,51
143,Shingirai Mupunga,30,Male,Mutare,Low,Family,119,2,Ecocash,4,0,3,0,5,2,82
144,Rudo Moyo,46,Male,Kwekwe,High,Individual,113,0,Mobile Money,9,4,0,1,5,1,100
145,Nyasha Mutsvairo,64,Female,Bindura,Low,Family,111,4,Mobile Money,3,1,1,3,5,4,48
146,Tendai Moyo,70,Female,Victoria Falls,Medium,Individual,85,1,Cash,6,1,3,3,5,3,91
147,Shingirai Nkomo,29,Male,Hwange,Low,Individual,94,4,Ecocash,1,5,4,2,6,5,88
148,Melody Chikafu,38,Male,Bindura,Medium,Individual,72,0,Bank Debit,2,4,0,0,3,2,70
149,Ashley Nkala,21,Male,Norton,High,Individual,65,0,Mobile Money,0,1,2,2,2,5,35
150,Anesu Nkomo,49,Male,Bulawayo,High,Individual,55,3,Bank Debit,9,3,2,1,2,5,94
151,Tinotenda Mashiri,21,Female,Gweru,Medium,Individual,22,5,Cash,7,0,1,2,4,4,61
152,Tawanda Chikwanda,34,Male,Chitungwiza,Low,Individual,89,0,Cash,1,1,2,2,6,5,40
153,Tatenda Chikwanda,72,Female,Chegutu,High,Family,21,0,Ecocash,1,2,4,2,4,4,75
154,Farai Mashava,34,Male,Chitungwiza,High,Individual,20,5,Bank Debit,6,2,3,3,3,2,100
155,Nyasha Nkomo,22,Female,Masvingo,High,Individual,29,2,Bank Debit,7,2,4,3,2,2,100
156,Shamiso Mataruse,25,Male,Victoria Falls,High,Family,83,0,Mobile Money,2,2,1,0,9,1,74
157,Taurai Mupoperi,66,Female,Gweru,Low,Family,65,0,Bank Debit,9,2,3,3,3,5,97
158,Taurai Mpofu,51,Male,Mutare,Low,Individual,77,5,Mobile Money,1,2,3,0,5,5,57
159,Blessing Ndlovu,21,Male,Mutare,Medium,Family,59,3,Mobile Money,6,0,0,1,6,2,62
160,Natsai Munetsi,28,Female,Kwekwe,Medium,Family,17,0,Ecocash,0,0,0,1,5,2,32
161,Rutendo Chikafu,50,Female,Hwange,Medium,Family,65,4,Ecocash,0,0,2,2,8,3,44
162,Brian Mutasa,23,Male,Gweru,High,Family,33,5,Bank Debit,9,3,0,1,5,3,90
163,Tatenda Masuku,68,Female,Kadoma,High,Family,90,4,Ecocash,0,1,4,2,3,2,79
164,Tatenda Chikafu,74,Female,Mutare,Low,Family,35,2,Mobile Money,7,1,4,0,5,1,100
165,Takudzwa Chikafu,44,Female,Marondera,Low,Family,57,2,Mobile Money,8,2,0,1,6,2,86
166,Fadzai Matiza,71,Female,Chitungwiza,Medium,Individual,111,3,Bank Debit,4,5,2,3,4,3,99
167,Tapiwa Mupunga,65,Female,Chitungwiza,Low,Family,18,2,Mobile Money,3,1,3,3,8,5,60
168,Blessing Mhlanga,68,Female,Chitungwiza,High,Family,53,5,Ecocash,5,3,4,0,3,3,100
169,Nyasha Mutambara,35,Female,Chitungwiza,Medium,Family,101,4,Ecocash,0,1,0,3,3,2,39
170,Tadiwa Mashingaidze,70,Female,Chitungwiza,Low,Family,92,2,Ecocash,1,5,2,3,3,2,92
171,Tendai Mupinga,56,Male,Norton,High,Individual,10,2,Mobile Money,5,5,1,0,7,1,100
172,Tinotenda Mpofu,33,Female,Kwekwe,Low,Individual,22,5,Bank Debit,0,2,4,2,1,1,96
173,Tonderai Mutasa,74,Female,Mutare,Medium,Individual,103,0,Ecocash,2,1,0,1,3,4,33
174,Simba Chikore,27,Female,Chegutu,High,Family,36,5,Cash,2,5,4,0,5,4,100
175,Prince Sibanda,55,Female,Victoria Falls,High,Individual,76,3,Cash,2,1,0,2,7,4,33
176,Tariro Ncube,18,Female,Kariba,High,Individual,117,5,Bank Debit,3,4,3,1,1,3,99
177,Kundai Mupunga,60,Male,Harare,Low,Family,48,4,Bank Debit,9,0,2,1,5,4,81
178,Tariro Mutsvangwa,20,Female,Kadoma,Medium,Individual,41,1,Ecocash,0,3,3,3,2,5,59
179,Faith Nkala,36,Female,Kariba,Medium,Individual,52,1,Ecocash,4,1,4,1,8,3,91
180,Kudakwashe Nkomo,27,Male,Kariba,Low,Family,38,1,Ecocash,8,4,1,2,2,2,100
181,Nyasha Mutambara,43,Male,Norton,Medium,Individual,88,1,Cash,2,1,4,0,4,3,81
182,Natsai Mupoperi,58,Male,Masvingo,Medium,Family,68,0,Ecocash,9,5,4,1,2,3,100
183,Faith Moyo,59,Male,Marondera,Low,Individual,113,1,Mobile Money,9,3,1,1,6,1,100
184,Brian Mutsvangwa,58,Female,Bindura,High,Family,47,3,Bank Debit,5,5,3,0,6,4,100
185,Tariro Mutasa,65,Male,Kariba,Low,Individual,105,3,Cash,0,4,4,1,9,2,100
186,Taurai Munyai,54,Female,Kariba,Low,Family,116,2,Ecocash,4,2,0,1,9,1,74
187,Tawanda Mupfumi,31,Female,Kadoma,Low,Individual,26,5,Cash,8,3,2,2,3,1,100
188,Precious Nkomo,23,Female,Kariba,Medium,Individual,99,0,Mobile Money,3,5,0,1,6,4,66
189,Rumbidzai Mutasa,20,Male,Bulawayo,Medium,Family,87,1,Bank Debit,5,1,2,3,5,1,92
190,Memory Chikafu,24,Female,Kariba,Medium,Family,80,2,Cash,3,3,0,3,4,1,76
191,Rutendo Ndlovu,34,Male,Hwange,High,Individual,86,1,Cash,5,0,4,0,7,4,81
192,Elton Mupinga,49,Female,Norton,Low,Family,110,3,Ecocash,5,4,4,1,2,2,100
193,Kudzai Mupinga,19,Female,Kadoma,High,Individual,117,3,Ecocash,7,5,1,3,3,4,96
194,Faith Ndlovu,54,Male,Harare,Medium,Individual,105,2,Cash,4,3,0,3,6,2,73
195,Shamiso Mupunga,70,Female,Gweru,Medium,Individual,84,2,Ecocash,1,1,2,1,4,4,48
196,Tadiwa Masango,19,Male,Gweru,Medium,Family,86,0,Cash,6,4,4,2,3,1,100
197,Clive Chikwanda,55,Male,Bulawayo,High,Family,116,3,Mobile Money,7,5,0,2,5,4,86
198,Tapiwa Mutsvangwa,31,Male,Gweru,Low,Family,78,2,Bank Debit,7,2,1,1,9,5,67
199,Shingirai Mupinga,62,Male,Victoria Falls,High,Family,52,0,Bank Debit,6,5,2,3,6,5,93
200,Nyarai Munyai,42,Male,Marondera,High,Individual,43,1,Bank Debit,0,0,0,0,8,1,40
201,Tanaka Mupfumi,45,Female,Gweru,High,Family,30,0,Bank Debit,3,3,1,1,5,5,54
202,Tinashe Chiweshe,43,Female,Kwekwe,Medium,Family,27,5,Ecocash,6,5,1,3,5,2,100
203,Kudakwashe Mupoperi,20,Female,Mutare,Medium,Individual,10,1,Mobile Money,5,4,3,0,7,4,99
204,Prince Chirinda,74,Female,Victoria Falls,Low,Family,106,2,Bank Debit,5,2,2,3,5,2,91
205,Shingirai Mutizwa,59,Male,Victoria Falls,Medium,Family,74,0,Bank Debit,3,1,4,3,1,4,80
206,Melody Ndlovu,41,Female,Chegutu,Medium,Family,79,5,Bank Debit,5,4,3,3,9,2,100
207,Tendekai Mutsvangwa,45,Male,Harare,High,Individual,102,0,Bank Debit,5,5,0,1,4,3,84
208,Clive Chirume,30,Female,Norton,High,Individual,98,4,Cash,5,2,4,0,5,1,100
209,Tadiwa Chirume,46,Male,Bulawayo,Low,Family,16,3,Cash,7,3,2,2,3,1,100
210,Tatenda Chibanda,56,Female,Masvingo,Medium,Family,95,0,Bank Debit,1,2,2,0,3,1,79
211,Nyarai Mashingaidze,33,Male,Victoria Falls,Medium,Family,30,5,Mobile Money,5,3,0,2,2,3,70
212,Elton Masuku,73,Male,Chegutu,Low,Family,59,5,Mobile Money,6,4,2,1,6,1,100
213,Tatenda Mutsvangwa,30,Female,Chegutu,Low,Family,75,1,Cash,7,5,2,3,3,3,100
214,Taurai Chirume,52,Female,Kariba,Medium,Individual,94,1,Bank Debit,4,3,4,1,3,1,100
215,Brian Mhlanga,69,Female,Kariba,Low,Individual,86,0,Bank Debit,0,5,1,0,5,1,85
216,Simba Mhlanga,68,Male,Chitungwiza,Low,Family,47,3,Ecocash,2,1,0,2,4,5,25
217,Faith Munyai,31,Male,Harare,Medium,Individual,92,1,Bank Debit,2,4,0,2,5,4,54
218,Natsai Dube,58,Male,Bindura,Low,Individual,69,0,Mobile Money,8,0,1,1,8,2,82
219,Natsai Chikwanda,65,Male,Harare,High,Individual,11,4,Bank Debit,4,1,3,1,9,4,73
220,Ashley Mupinga,49,Male,Bulawayo,Low,Family,28,0,Mobile Money,6,2,4,0,7,1,100
221,Simba Mupoperi,70,Male,Victoria Falls,Low,Family,87,0,Mobile Money,4,0,4,2,1,1,100
222,Simbarashe Mutizwa,35,Male,Chegutu,High,Individual,17,4,Cash,4,3,1,2,2,1,91
223,Tinashe Ndlovu,62,Male,Bindura,Medium,Family,75,1,Mobile Money,7,4,4,1,2,2,100
224,Clive Chibanda,70,Female,Norton,Medium,Family,92,2,Ecocash,7,1,2,2,7,2,94
225,Farai Nkala,52,Female,Kadoma,Low,Individual,43,3,Cash,4,3,2,3,6,5,69
226,Kudzai Chikwanda,71,Female,Kadoma,Low,Individual,97,1,Ecocash,9,2,2,2,2,2,100
227,Natsai Mutsvangwa,36,Female,Hwange,Medium,Family,66,4,Mobile Money,3,1,4,1,5,3,86
228,Nyarai Ncube,28,Male,Victoria Falls,Medium,Family,36,3,Cash,3,0,2,1,3,2,67
229,Nyarai Dube,51,Female,Harare,High,Individual,116,5,Cash,5,4,0,1,9,1,93
230,Ashley Munyai,35,Male,Kariba,Medium,Family,41,3,Mobile Money,9,2,0,1,7,5,67
231,Simba Chikafu,50,Male,Chitungwiza,Medium,Individual,51,2,Bank Debit,6,4,3,1,6,4,100
232,Tawanda Mutsvairo,56,Female,Kwekwe,High,Family,91,5,Mobile Money,4,0,0,2,5,4,36
233,Simbarashe Munetsi,61,Male,Bindura,Medium,Family,117,1,Bank Debit,7,2,3,2,9,2,100
234,Natsai Mupamhanga,54,Female,Gweru,Medium,Family,96,3,Bank Debit,0,2,1,0,1,5,34
235,Tendekai Chiweshe,31,Female,Kariba,High,Family,51,4,Ecocash,7,2,0,1,9,4,65
236,Shingirai Mashingaidze,19,Female,Bindura,Medium,Individual,41,4,Mobile Money,8,0,2,3,3,4,76
237,Tadiwa Mhlanga,48,Male,Norton,Medium,Family,79,1,Ecocash,6,0,0,1,5,2,62
238,Tinotenda Chikafu,63,Female,Masvingo,Medium,Individual,43,4,Bank Debit,4,4,0,3,8,5,56
239,Nyasha Chibanda,71,Male,Hwange,Low,Family,83,3,Cash,1,1,2,1,5,2,64
240,Nyasha Mutambara,72,Male,Norton,Low,Family,96,3,Ecocash,4,0,4,3,3,2,92
241,Tapiwa Chirume,25,Female,Hwange,Medium,Individual,99,1,Cash,3,1,3,2,7,1,92
242,Tatenda Masango,43,Female,Masvingo,Low,Individual,26,2,Ecocash,2,1,1,1,2,3,51
243,Tinotenda Mataruse,33,Female,Bindura,Low,Individual,112,5,Bank Debit,1,0,2,3,6,1,65
244,Kudzai Ndlovu,56,Male,Victoria Falls,Low,Family,33,0,Cash,5,1,0,3,2,4,48
245,Kudzai Mapfumo,32,Male,Norton,High,Individual,12,2,Bank Debit,1,1,1,3,7,3,46
246,Elton Moyo,72,Male,Hwange,Medium,Family,22,5,Ecocash,4,3,0,3,6,5,49
247,Taurai Mutasa,24,Female,Gweru,Medium,Individual,94,2,Mobile Money,5,1,3,0,9,4,78
248,Natsai Mashiri,74,Male,Gweru,Medium,Individual,51,2,Mobile Money,5,3,1,2,4,4,72
249,Kudakwashe Mutsvairo,25,Female,Hwange,Low,Individual,10,2,Ecocash,2,5,0,1,6,1,85
250,Tapiwa Mutambara,18,Female,Hwange,Low,Family,49,2,Mobile Money,1,4,1,2,2,5,51
251,Tadiwa Mashava,51,Male,Norton,High,Individual,36,5,Cash,2,3,3,1,6,4,77
252,Anesu Mupunga,21,Male,Victoria Falls,High,Individual,92,5,Mobile Money,7,1,2,3,4,2,94
253,Brian Mupamhanga,36,Male,Victoria Falls,Medium,Family,29,1,Cash,2,2,3,1,8,5,62
